0 1 2 3 4 5 6 7 8 9 10 11
0 1 2 3 4 5 6 7 8 10 9 11
0 1 2 3 4 5 6 7 8 11 9 10
0 1 2 3 4 5 6 8 7 9 10 11
0 1 2 3 4 5 6 8 7 10 9 11
0 1 2 3 4 5 6 8 7 11 9 10
0 1 2 3 4 5 6 9 7 8 10 11
0 1 2 3 4 5 6 9 7 10 8 11
0 1 2 3 4 5 6 9 7 11 8 10
0 1 2 3 4 5 6 10 7 8 9 11
0 1 2 3 4 5 6 10 7 9 8 11
0 1 2 3 4 5 6 10 7 11 8 9
0 1 2 3 4 5 6 11 7 8 9 10
0 1 2 3 4 5 6 11 7 9 8 10
0 1 2 3 4 5 6 11 7 10 8 9
0 1 2 3 4 6 5 7 8 9 10 11
0 1 2 3 4 6 5 7 8 10 9 11
0 1 2 3 4 6 5 7 8 11 9 10
0 1 2 3 4 6 5 8 7 9 10 11
0 1 2 3 4 6 5 8 7 10 9 11
0 1 2 3 4 6 5 8 7 11 9 10
0 1 2 3 4 6 5 9 7 8 10 11
0 1 2 3 4 6 5 9 7 10 8 11
0 1 2 3 4 6 5 9 7 11 8 10
0 1 2 3 4 6 5 10 7 8 9 11
0 1 2 3 4 6 5 10 7 9 8 11
0 1 2 3 4 6 5 10 7 11 8 9
0 1 2 3 4 6 5 11 7 8 9 10
0 1 2 3 4 6 5 11 7 9 8 10
0 1 2 3 4 6 5 11 7 10 8 9
0 1 2 3 4 7 5 6 8 9 10 11
0 1 2 3 4 7 5 6 8 10 9 11
0 1 2 3 4 7 5 6 8 11 9 10
0 1 2 3 4 7 5 8 6 9 10 11
0 1 2 3 4 7 5 8 6 10 9 11
0 1 2 3 4 7 5 8 6 11 9 10
0 1 2 3 4 7 5 9 6 8 10 11
0 1 2 3 4 7 5 9 6 10 8 11
0 1 2 3 4 7 5 9 6 11 8 10
0 1 2 3 4 7 5 10 6 8 9 11
0 1 2 3 4 7 5 10 6 9 8 11
0 1 2 3 4 7 5 10 6 11 8 9
0 1 2 3 4 7 5 11 6 8 9 10
0 1 2 3 4 7 5 11 6 9 8 10
0 1 2 3 4 7 5 11 6 10 8 9
0 1 2 3 4 8 5 6 7 9 10 11
0 1 2 3 4 8 5 6 7 10 9 11
0 1 2 3 4 8 5 6 7 11 9 10
0 1 2 3 4 8 5 7 6 9 10 11
